File Names,Values
1.JPG,1
2.JPG,1
3.JPG,1
4.JPG,1
5.JPG,1
6.JPG,1
7.JPG,1
8.JPG,1
9.JPG,1
10.JPG,1
11.JPG,1
12.JPG,1
13.JPG,1
14.JPG,1
15.JPG,1
16.JPG,1
17.JPG,1
18.JPG,1
19.JPG,1
20.JPG,1
21.JPG,1
22.JPG,1
23.JPG,1
24.JPG,1
25.JPG,1
26.JPG,1
27.JPG,1
28.JPG,1
29.JPG,1
30.JPG,1
31.JPG,1
32.JPG,1
33.JPG,1
34.JPG,1
35.JPG,1
36.JPG,1
37.JPG,1
38.JPG,0
39.JPG,0
40.JPG,0
41.JPG,0
42.JPG,0
43.JPG,0
44.JPG,0
45.JPG,0
46.JPG,0
47.JPG,0
48.JPG,0
49.JPG,0
50.JPG,0
51.JPG,0
52.JPG,0
53.JPG,0
54.JPG,0
55.JPG,0
56.JPG,0
57.JPG,0
58.JPG,0
59.JPG,0
60.JPG,0
61.JPG,0
62.JPG,0
63.JPG,0
64.JPG,0
65.JPG,0
66.JPG,0
67.JPG,0
68.JPG,0
69.JPG,0
70.JPG,0
71.JPG,0
72.JPG,0
73.JPG,0
74.JPG,0
75.JPG,0
76.JPG,0
77.JPG,0
